,0,1,2,3,4
0,emlap,100044,1664,"Inspice quaeso huius postremi sinceritatem & ingredientium paucitatem, & confer cum praecedentium labyrintho, confusioneque ultramarinorum receptorum a Galenistis (non sine correctione mea) positorum, singulis ex utraque parte quum usus fueris iudicato.","[['Inspice', 'inspicio', 'ADV', [0, 7], [74], [8]], ['quaeso', 'quaeso', 'VERB', [8, 14], [74], [8]], ['huius', 'hic', 'DET', [15, 20], [74], [8]], ['postremi', 'postremus', 'NOUN', [21, 29], [74], [8]], ['sinceritatem', 'sinceritas', 'NOUN', [30, 42], [74], [8]], ['&', '&', 'PUNCT', [43, 44], [74], [9]], ['ingredientium', 'ingredior', 'NOUN', [45, 58], [74], [9]], ['paucitatem', 'paucitas', 'NOUN', [59, 69], [74], [9]], [',', ',', 'PUNCT', [69, 70], [74], [9]], ['&', '&', 'PUNCT', [71, 72], [74], [9]], ['confer', 'confero', 'VERB', [73, 79], [74], [9]], ['cum', 'cum', 'SCONJ', [80, 83], [74], [9]], ['praecedentium', 'praecedo', 'VERB', [84, 97], [74], [10]], ['labyrintho', 'labyrinthus', 'NOUN', [98, 108], [74], [10]], [',', ',', 'PUNCT', [108, 109], [74], [10]], ['confusione', 'confusio', 'NOUN', [110, 120], [74], [10]], ['que', 'que', 'CCONJ', [120, 123], [74], [10]], ['ultramarinorum', 'ultramarinus', 'ADJ', [124, 138], [74], [10, 11]], ['receptorum', 'recipio', 'VERB', [139, 149], [74], [11]], ['a', 'ab', 'ADP', [150, 151], [74], [11]], ['Galenistis', 'Galenista', 'PROPN', [152, 162], [74], [11]], ['(', '(', 'PUNCT', [163, 164], [74], [11]], ['non', 'non', 'PART', [164, 167], [74], [11]], ['sine', 'sine', 'ADP', [168, 172], [74], [12]], ['correctione', 'correctio', 'NOUN', [173, 184], [74], [12]], ['mea', 'meus', 'DET', [185, 188], [74], [12]], [')', ')', 'PUNCT', [188, 189], [74], [12]], ['positorum', 'pono', 'NOUN', [190, 199], [74], [12]], [',', ',', 'PUNCT', [199, 200], [74], [12]], ['singulis', 'singulus', 'ADJ', [201, 209], [74], [12]], ['ex', 'ex', 'ADP', [210, 212], [74], [12]], ['utraque', 'uterque', 'DET', [213, 220], [74], [13]], ['parte', 'pars', 'NOUN', [221, 226], [74], [13]], ['quum', 'quum', 'SCONJ', [227, 231], [74], [13]], ['usus', 'usus', 'NOUN', [232, 236], [74], [13]], ['fueris', 'sum', 'AUX', [237, 243], [74], [13]], ['iudicato', 'iudicatum', 'NOUN', [244, 252], [74], [13]], ['.', '.', 'PUNCT', [252, 253], [74], [13]]]"
1,emlap,100010,1080,de Daedalo cum suo filio incluso in labyrintho ipsis aptasse alas ex pennis cum caera quibus euolarent ex labyrintho.,"[['de', 'de', 'ADP', [0, 2], [71], [12]], ['Daedalo', 'daedalus', 'PROPN', [3, 10], [71], [12]], ['cum', 'cum', 'NOUN', [11, 14], [71], [12]], ['suo', 'suus', 'DET', [15, 18], [71], [12]], ['filio', 'filius', 'NOUN', [19, 24], [71], [13]], ['incluso', 'includo', 'VERB', [25, 32], [71], [13]], ['in', 'in', 'ADP', [33, 35], [71], [13]], ['labyrintho', 'labyrinthus', 'NOUN', [36, 46], [71], [13]], ['ipsis', 'ipse', 'DET', [47, 52], [71], [13]], ['aptasse', 'apto', 'VERB', [53, 60], [71], [13]], ['alas', 'ala', 'NOUN', [61, 65], [71], [13]], ['ex', 'ex', 'ADP', [66, 68], [71], [13]], ['pennis', 'penna', 'NOUN', [69, 75], [71], [13]], ['cum', 'cum', 'ADP', [76, 79], [71], [13]], ['caera', 'caera', 'NOUN', [80, 85], [71], [13]], ['quibus', 'qui', 'PRON', [86, 92], [71], [14]], ['euolarent', 'euolo', 'VERB', [93, 102], [71], [14]], ['ex', 'ex', 'ADP', [103, 105], [71], [14]], ['labyrintho', 'labyrinthus', 'NOUN', [106, 116], [71], [14]], ['.', '.', 'PUNCT', [116, 117], [71], [14]]]"
2,emlap,100059,973,Labyrinthus medicorum errantium.,"[['Labyrinthus', 'labyrinthus', 'NOUN', [0, 11], [78], [19]], ['medicorum', 'medicus', 'NOUN', [12, 21], [78], [19]], ['errantium', 'erro', 'VERB', [22, 31], [78], [19]], ['.', '.', 'PUNCT', [31, 32], [78], [19]]]"
3,emlap,100059,1820,"quod unus existis in aula morum corruptrice & deprauatrice, qui cum ingeniis conflictaris huiusmodi, neque animus ab officio tamen immutatur aut flectitur, ut solus philosophos ames, foueas, iuuesque illosque in deterrima labyrintho implicatos omni beneuolentiae genere prosequaris.","[['quod', 'quod', 'SCONJ', [0, 4], [159], [20]], ['unus', 'unus', 'NUM', [5, 9], [159], [20]], ['existis', 'existo', 'VERB', [10, 17], [159], [20]], ['in', 'in', 'ADP', [18, 20], [159], [20]], ['aula', 'aula', 'NOUN', [21, 25], [159], [21]], ['morum', 'mos', 'NOUN', [26, 31], [159], [21]], ['corruptrice', 'corruptricio', 'ADV', [32, 43], [159], [21]], ['&', '&', 'PUNCT', [44, 45], [159], [21]], ['deprauatrice', 'deprauatrix', 'ADV', [46, 58], [159], [21, 22]], [',', ',', 'PUNCT', [58, 59], [159], [22]], ['qui', 'qui', 'PRON', [60, 63], [159], [22]], ['cum', 'cum', 'ADP', [64, 67], [159], [22]], ['ingeniis', 'ingenium', 'NOUN', [68, 76], [159], [22]], ['conflictaris', 'conflicto', 'ADJ', [77, 89], [159], [22]], ['huiusmodi', 'huiusmodi', 'DET', [90, 99], [159, 160], [1, 22]], [',', ',', 'PUNCT', [99, 100], [160], [1]], ['neque', 'neque', 'CCONJ', [101, 106], [160], [1]], ['animus', 'animus', 'NOUN', [107, 113], [160], [1]], ['ab', 'ab', 'ADP', [114, 116], [160], [1]], ['officio', 'officium', 'NOUN', [117, 124], [160], [1]], ['tamen', 'tamen', 'ADV', [125, 130], [160], [1]], ['immutatur', 'immuto', 'VERB', [131, 140], [160], [1, 2]], ['aut', 'aut', 'CCONJ', [141, 144], [160], [2]], ['flectitur', 'flecto', 'VERB', [145, 154], [160], [2]], [',', ',', 'PUNCT', [154, 155], [160], [2]], ['ut', 'ut', 'SCONJ', [156, 158], [160], [2]], ['solus', 'solus', 'DET', [159, 164], [160], [2]], ['philosophos', 'philosophus', 'NOUN', [165, 176], [160], [2]], ['ames', 'amo', 'VERB', [177, 181], [160], [3]], [',', ',', 'PUNCT', [181, 182], [160], [3]], ['foueas', 'foueo', 'VERB', [183, 189], [160], [3]], [',', ',', 'PUNCT', [189, 190], [160], [3]], ['iuues', 'iuuo', 'ADJ', [191, 196], [160], [3]], ['que', 'que', 'CCONJ', [196, 199], [160], [3]], ['illos', 'ille', 'DET', [200, 205], [160], [3]], ['que', 'que', 'CCONJ', [205, 208], [160], [3]], ['in', 'in', 'ADP', [209, 211], [160], [3]], ['deterrima', 'deterrimus', 'ADJ', [212, 221], [160], [3]], ['labyrintho', 'labyrinthus', 'NOUN', [222, 232], [160], [4]], ['implicatos', 'implico', 'VERB', [233, 243], [160], [4]], ['omni', 'omnis', 'DET', [244, 248], [160], [4]], ['beneuolentiae', 'beneuolentia', 'NOUN', [249, 262], [160], [4, 5]], ['genere', 'genus', 'NOUN', [263, 269], [160], [5]], ['prosequaris', 'prosequor', 'VERB', [270, 281], [160], [5]], ['.', '.', 'PUNCT', [281, 282], [160], [5]]]"
4,emlap,100059,4191,Quod iamiam aggressuro mihi mens tota horrore quodam sacro concutitur (o philosophi) uel tanquam labyrinthum ingressuro Minotauri pauor incutitur.,"[['Quod', 'quod', 'SCONJ', [0, 4], [313], [29]], ['iamiam', 'iamia', 'VERB', [5, 11], [313], [29]], ['aggressuro', 'aggredior', 'VERB', [12, 22], [313], [29]], ['mihi', 'ego', 'PRON', [23, 27], [313], [30]], ['mens', 'mens', 'NOUN', [28, 32], [313], [30]], ['tota', 'totus', 'DET', [33, 37], [313], [30]], ['horrore', 'horror', 'NOUN', [38, 45], [313], [30]], ['quodam', 'quidam', 'DET', [46, 52], [313], [30]], ['sacro', 'sacer', 'ADJ', [53, 58], [313], [30]], ['concutitur', 'concutio', 'VERB', [59, 69], [313], [30, 31]], ['(', '(', 'PUNCT', [70, 71], [313], [31]], ['o', 'o', 'PART', [71, 72], [313], [31]], ['philosophi', 'philosophus', 'NOUN', [73, 83], [313], [31]], [')', ')', 'PUNCT', [83, 84], [313], [31]], ['uel', 'uel', 'CCONJ', [85, 88], [313], [31]], ['tanquam', 'tamquam', 'ADV', [89, 96], [313], [31]], ['labyrinthum', 'labyrinthus', 'NOUN', [97, 108], [313], [31, 32]], ['ingressuro', 'ingredior', 'ADJ', [109, 119], [313], [32]], ['Minotauri', 'Minotaurus', 'PROPN', [120, 129], [313], [32]], ['pauor', 'pauor', 'NOUN', [130, 135], [313], [32]], ['incutitur', 'incutio', 'VERB', [136, 145], [313], [32]], ['.', '.', 'PUNCT', [145, 146], [313], [32]]]"
5,emlap,100045,15,"tum potissimum frequentes inuectiuae, quae passim interseruntur utrinque seriis etiam ut plurimum rebus, ut ipsorum attentos animos ab intelligentiae uerae filo diuertant in labyrinthum.","[['tum', 'tum', 'ADV', [0, 3], [8], [10]], ['potissimum', 'potissimum', 'ADV', [4, 14], [8], [10]], ['frequentes', 'frequens', 'ADJ', [15, 25], [8], [10]], ['inuectiuae', 'inuectiuus', 'ADJ', [26, 36], [8], [10, 11]], [',', ',', 'PUNCT', [36, 37], [8], [11]], ['quae', 'qui', 'PRON', [38, 42], [8], [11]], ['passim', 'passim', 'ADV', [43, 49], [8], [11]], ['interseruntur', 'intersero', 'VERB', [50, 63], [8], [11]], ['utrin', 'utrin', 'CCONJ', [64, 69], [8], [11]], ['que', 'que', 'CCONJ', [69, 72], [8], [11]], ['seriis', 'seria', 'ADJ', [73, 79], [8], [11]], ['etiam', 'etiam', 'ADV', [80, 85], [8], [11]], ['ut', 'ut', 'SCONJ', [86, 88], [8], [12]], ['plurimum', 'multus', 'ADV', [89, 97], [8], [12]], ['rebus', 'res', 'NOUN', [98, 103], [8], [12]], [',', ',', 'PUNCT', [103, 104], [8], [12]], ['ut', 'ut', 'SCONJ', [105, 107], [8], [12]], ['ipsorum', 'ipse', 'DET', [108, 115], [8], [12]], ['attentos', 'attendo', 'VERB', [116, 124], [8], [12]], ['animos', 'animus', 'NOUN', [125, 131], [8], [12]], ['ab', 'ab', 'ADP', [132, 134], [8], [13]], ['intelligentiae', 'intellegentia', 'NOUN', [135, 149], [8], [13]], ['uerae', 'uerus', 'ADJ', [150, 155], [8], [13]], ['filo', 'filum', 'NOUN', [156, 160], [8], [13]], ['diuertant', 'diuerto', 'VERB', [161, 170], [8], [13]], ['in', 'in', 'ADP', [171, 173], [8], [13]], ['labyrinthum', 'labyrinthus', 'NOUN', [174, 185], [8], [13, 14]], ['.', '.', 'PUNCT', [185, 186], [8], [14]]]"
6,emlap,100045,1368,"Sed postquam hominum sapiendi per seipsos uanus appetitus induxit eos ad quaerendum a seipsis, ac in aliis quam in eo, in quo solo salus omnis est, caecutiuit mens eorum, & in labyrinthum ducta, iam hanc, modo aliam herbam, cras istam & aliam radicem, postridie mixtum quid expetiuerunt, ut indies experientes absque iudicio, nunquam scopum attigerint, nec suae doctrinae ullam habuerint certitudinem.","[['Sed', 'sed', 'CCONJ', [0, 3], [138], [22]], ['postquam', 'postquam', 'SCONJ', [4, 12], [138], [22]], ['hominum', 'homo', 'NOUN', [13, 20], [138], [22]], ['sapiendi', 'sapio', 'VERB', [21, 29], [138], [22]], ['per', 'per', 'ADP', [30, 33], [138], [22]], ['seipsos', 'seipse', 'PRON', [34, 41], [138], [22]], ['uanus', 'uanus', 'ADJ', [42, 47], [138], [23]], ['appetitus', 'appetitus', 'NOUN', [48, 57], [138], [23]], ['induxit', 'induco', 'VERB', [58, 65], [138], [23]], ['eos', 'is', 'PRON', [66, 69], [138], [23]], ['ad', 'ad', 'ADP', [70, 72], [138], [23]], ['quaerendum', 'quaero', 'VERB', [73, 83], [138], [23]], ['a', 'ab', 'ADP', [84, 85], [138], [24]], ['seipsis', 'seipse', 'PRON', [86, 93], [138], [24]], [',', ',', 'PUNCT', [93, 94], [138], [24]], ['ac', 'atque', 'CCONJ', [95, 97], [138], [24]], ['in', 'in', 'ADP', [98, 100], [138], [24]], ['aliis', 'alius', 'DET', [101, 106], [138], [24]], ['quam', 'quam', 'SCONJ', [107, 111], [138], [24]], ['in', 'in', 'ADP', [112, 114], [138], [24]], ['eo', 'is', 'PRON', [115, 117], [138], [24]], [',', ',', 'PUNCT', [117, 118], [138], [24]], ['in', 'in', 'ADP', [119, 121], [138], [24]], ['quo', 'qui', 'PRON', [122, 125], [138], [24]], ['solo', 'solus', 'DET', [126, 130], [138], [24]], ['salus', 'salus', 'NOUN', [131, 136], [138], [24, 25]], ['omnis', 'omnis', 'DET', [137, 142], [138], [25]], ['est', 'sum', 'AUX', [143, 146], [138], [25]], [',', ',', 'PUNCT', [146, 147], [138], [25]], ['caecutiuit', 'caecutio', 'VERB', [148, 158], [138], [25]], ['mens', 'mens', 'NOUN', [159, 163], [138], [25]], ['eorum', 'is', 'PRON', [164, 169], [138], [25]], [',', ',', 'PUNCT', [169, 170], [138], [25]], ['&', '&', 'PUNCT', [171, 172], [138], [25]], ['in', 'in', 'ADP', [173, 175], [138], [25]], ['labyrinthum', 'labyrinthus', 'NOUN', [176, 187], [138], [25, 26]], ['ducta', 'duco', 'VERB', [188, 193], [138], [26]], [',', ',', 'PUNCT', [193, 194], [138], [26]], ['iam', 'iam', 'ADV', [195, 198], [138], [26]], ['hanc', 'hic', 'DET', [199, 203], [138], [26]], [',', ',', 'PUNCT', [203, 204], [138], [26]], ['modo', 'modo', 'ADV', [205, 209], [138], [26]], ['aliam', 'alius', 'DET', [210, 215], [138], [26]], ['herbam', 'herba', 'NOUN', [216, 222], [138], [27]], [',', ',', 'PUNCT', [222, 223], [138], [27]], ['cras', 'cras', 'ADV', [224, 228], [138], [27]], ['istam', 'iste', 'DET', [229, 234], [138], [27]], ['&', '&', 'PUNCT', [235, 236], [138], [27]], ['aliam', 'alius', 'DET', [237, 242], [138], [27]], ['radicem', 'radix', 'NOUN', [243, 250], [138], [27]], [',', ',', 'PUNCT', [250, 251], [138], [27]], ['postridie', 'postridie', 'ADV', [252, 261], [138], [27, 28]], ['mixtum', 'misceo', 'VERB', [262, 268], [138], [28]], ['quid', 'quis', 'PRON', [269, 273], [138], [28]], ['expetiuerunt', 'expeto', 'VERB', [274, 286], [138], [28]], [',', ',', 'PUNCT', [286, 287], [138], [28]], ['ut', 'ut', 'SCONJ', [288, 290], [138], [28]], ['indies', 'indio', 'ADV', [291, 297], [138], [28]], ['experientes', 'experior', 'VERB', [298, 309], [138], [28, 29]], ['absque', 'absque', 'ADP', [310, 316], [138], [29]], ['iudicio', 'iudicium', 'NOUN', [317, 324], [138], [29]], [',', ',', 'PUNCT', [324, 325], [138], [29]], ['nunquam', 'numquam', 'ADV', [326, 333], [138], [29]], ['scopum', 'scopus', 'NOUN', [334, 340], [138], [29]], ['attigerint', '', 'VERB', [341, 351], [139], [1]], [',', ',', 'PUNCT', [351, 352], [139], [1]], ['nec', 'neque', 'CCONJ', [353, 356], [139], [1]], ['suae', 'suus', 'DET', [357, 361], [139], [1]], ['doctrinae', 'doctrina', 'NOUN', [362, 371], [139], [1]], ['ullam', 'ullus', 'DET', [372, 377], [139], [1]], ['habuerint', '', 'VERB', [378, 387], [139], [1]], ['certitudinem', 'certitudo', 'NOUN', [388, 400], [139], [2]], ['.', '.', 'PUNCT', [400, 401], [139], [2]]]"
7,emlap,100045,1779,"Erant haec studiosis proponenda, ut cognoscerent qua ratione moralia spagiricis, physicis, & meditatiuis immiscuerimus, & quemadmodum singula sibi correspondentibus comparantur, ne forte sub labyrintho haerentibus introitum ad rem capescendam praestruxisse dicerer lectoribus.","[['Erant', 'sum', 'AUX', [0, 5], [178], [5]], ['haec', 'hic', 'DET', [6, 10], [178], [5]], ['studiosis', 'studiosus', 'ADJ', [11, 20], [178], [6]], ['proponenda', 'propono', 'VERB', [21, 31], [178], [6]], [',', ',', 'PUNCT', [31, 32], [178], [6]], ['ut', 'ut', 'SCONJ', [33, 35], [178], [6]], ['cognoscerent', 'cognosco', 'VERB', [36, 48], [178], [6]], ['qua', 'qui', 'PRON', [49, 52], [178], [6]], ['ratione', 'ratio', 'NOUN', [53, 60], [178], [6, 7]], ['moralia', 'moralis', 'ADJ', [61, 68], [178], [7]], ['spagiricis', 'spagiricus', 'ADJ', [69, 79], [178], [7]], [',', ',', 'PUNCT', [79, 80], [178], [7]], ['physicis', 'physica', 'ADJ', [81, 89], [178], [7]], [',', ',', 'PUNCT', [89, 90], [178], [7]], ['&', '&', 'PUNCT', [91, 92], [178], [7]], ['meditatiuis', 'meditatiuus', 'NOUN', [93, 104], [178], [7, 8]], ['immiscuerimus', 'immisceo', 'VERB', [105, 118], [178], [8]], [',', ',', 'PUNCT', [118, 119], [178], [8]], ['&', '&', 'PUNCT', [120, 121], [178], [8]], ['quemadmodum', 'quemadmodum', 'ADV', [122, 133], [178], [8]], ['singula', 'singulus', 'ADJ', [134, 141], [178], [8, 9]], ['sibi', 'sui', 'PRON', [142, 146], [178], [9]], ['correspondentibus', 'correspondeo', 'VERB', [147, 164], [178], [9]], ['comparantur', 'comparo', 'VERB', [165, 176], [178], [9]], [',', ',', 'PUNCT', [176, 177], [178], [9]], ['ne', 'ne', 'SCONJ', [178, 180], [178], [9]], ['forte', 'forte', 'ADV', [181, 186], [178], [9, 10]], ['sub', 'sub', 'ADP', [187, 190], [178], [10]], ['labyrintho', 'labyrinthus', 'NOUN', [191, 201], [178], [10]], ['haerentibus', 'haereo', 'VERB', [202, 213], [178], [10]], ['introitum', 'introitus', 'NOUN', [214, 223], [178], [10]], ['ad', 'ad', 'ADP', [224, 226], [178], [10]], ['rem', 'res', 'NOUN', [227, 230], [178], [10]], ['capescendam', 'capesco', 'VERB', [231, 242], [178], [11]], ['praestruxisse', 'praestruo', 'VERB', [243, 256], [178], [11]], ['dicerer', 'dico', 'VERB', [257, 264], [178], [11]], ['lectoribus', 'lector', 'NOUN', [265, 275], [178], [11]], ['.', '.', 'PUNCT', [275, 276], [178], [11]]]"
8,emlap,100045,3149,"ipse nos docebit alia uia gradiendum, cum in supernaturalibus, tum etiam in naturalibus, quam per labyrinthum infidelium, ad morbos omnes a nobis propellendum.","[['ipse', 'ipse', 'DET', [0, 4], [313], [28]], ['nos', 'nos', 'PRON', [5, 8], [313], [28]], ['docebit', 'doceo', 'VERB', [9, 16], [313], [28]], ['alia', 'alius', 'DET', [17, 21], [313], [28, 29]], ['uia', 'uia', 'NOUN', [22, 25], [313], [29]], ['gradiendum', 'gradio', 'VERB', [26, 36], [313], [29]], [',', ',', 'PUNCT', [36, 37], [313], [29]], ['cum', 'cum', 'SCONJ', [38, 41], [313], [29]], ['in', 'in', 'ADP', [42, 44], [313], [29]], ['supernaturalibus', 'supernaturalis', 'ADJ', [45, 61], [313], [29]], [',', ',', 'PUNCT', [61, 62], [313], [29]], ['tum', 'tum', 'ADV', [63, 66], [314], [1]], ['etiam', 'etiam', 'ADV', [67, 72], [314], [1]], ['in', 'in', 'ADP', [73, 75], [314], [1]], ['naturalibus', 'naturalis', 'ADJ', [76, 87], [314], [1]], [',', ',', 'PUNCT', [87, 88], [314], [1]], ['quam', 'quam', 'SCONJ', [89, 93], [314], [1]], ['per', 'per', 'ADP', [94, 97], [314], [1]], ['labyrinthum', 'labyrinthus', 'NOUN', [98, 109], [314], [1, 2]], ['infidelium', 'infidelis', 'ADJ', [110, 120], [314], [2]], [',', ',', 'PUNCT', [120, 121], [314], [2]], ['ad', 'ad', 'ADP', [122, 124], [314], [2]], ['morbos', 'morbus', 'NOUN', [125, 131], [314], [2]], ['omnes', 'omnis', 'DET', [132, 137], [314], [2]], ['a', 'ab', 'ADP', [138, 139], [314], [2]], ['nobis', 'nos', 'PRON', [140, 145], [314], [2]], ['propellendum', 'propellor', 'VERB', [146, 158], [314], [2, 3]], ['.', '.', 'PUNCT', [158, 159], [314], [3]]]"
9,emlap,100045,3881,"Uideo te nihil hactenus de centro cognouisse, quo fit ut Paracelsi principium & principia, uel unum & tria non intelligas, sed toto coelo delires, ut complicatus labyrintho Gentilium, ad ea quae pulchra sunt peruenire nequeas, neque uidere mente, sensualibus oculis tamen apertissimis, tibi concedatur.","[['Uideo', 'uideo', 'ADV', [0, 5], [391], [2]], ['te', 'tu', 'PRON', [6, 8], [391], [2]], ['nihil', 'nihil', 'PRON', [9, 14], [391], [2]], ['hactenus', 'hactenus', 'ADV', [15, 23], [391], [2, 3]], ['de', 'de', 'ADP', [24, 26], [391], [3]], ['centro', 'centrum', 'NOUN', [27, 33], [391], [3]], ['cognouisse', 'cognosco', 'VERB', [34, 44], [391], [3]], [',', ',', 'PUNCT', [44, 45], [391], [3]], ['quo', 'qui', 'PRON', [46, 49], [391], [3]], ['fit', 'fio', 'VERB', [50, 53], [391], [3]], ['ut', 'ut', 'SCONJ', [54, 56], [391], [3]], ['Paracelsi', 'Paracelsus', 'PROPN', [57, 66], [391], [3]], ['principium', 'principium', 'NOUN', [67, 77], [391], [4]], ['&', '&', 'PUNCT', [78, 79], [391], [4]], ['principia', 'principium', 'NOUN', [80, 89], [391], [4]], [',', ',', 'PUNCT', [89, 90], [391], [4]], ['uel', 'uel', 'CCONJ', [91, 94], [391], [4]], ['unum', 'unus', 'NUM', [95, 99], [391], [4]], ['&', '&', 'PUNCT', [100, 101], [391], [4]], ['tria', 'tres', 'NUM', [102, 106], [391], [4]], ['non', 'non', 'PART', [107, 110], [391], [4]], ['intelligas', 'intellego', 'VERB', [111, 121], [391], [5]], [',', ',', 'PUNCT', [121, 122], [391], [5]], ['sed', 'sed', 'CCONJ', [123, 126], [391], [5]], ['toto', 'totus', 'DET', [127, 131], [391], [5]], ['coelo', 'coelus', 'NOUN', [132, 137], [391], [5]], ['delires', 'deliro', 'VERB', [138, 145], [391], [5]], [',', ',', 'PUNCT', [145, 146], [391], [5]], ['ut', 'ut', 'SCONJ', [147, 149], [391], [5]], ['complicatus', 'complico', 'VERB', [150, 161], [391], [5, 6]], ['labyrintho', 'labyrinthus', 'NOUN', [162, 172], [391], [6]], ['Gentilium', 'gentilis', 'NOUN', [173, 182], [391], [6]], [',', ',', 'PUNCT', [182, 183], [391], [6]], ['ad', 'ad', 'ADP', [184, 186], [391], [6]], ['ea', 'is', 'PRON', [187, 189], [391], [6]], ['quae', 'qui', 'PRON', [190, 194], [391], [6]], ['pulchra', 'pulcher', 'ADJ', [195, 202], [391], [6]], ['sunt', 'sum', 'AUX', [203, 207], [391], [7]], ['peruenire', 'peruenio', 'VERB', [208, 217], [391], [7]], ['nequeas', 'nequeo', 'VERB', [218, 225], [391], [7]], [',', ',', 'PUNCT', [225, 226], [391], [7]], ['neque', 'neque', 'CCONJ', [227, 232], [391], [7]], ['uidere', 'uideo', 'VERB', [233, 239], [391], [7]], ['mente', 'mens', 'NOUN', [240, 245], [391], [7]], [',', ',', 'PUNCT', [245, 246], [391], [7]], ['sensualibus', 'sensualis', 'ADJ', [247, 258], [391], [8]], ['oculis', 'oculus', 'NOUN', [259, 265], [391], [8]], ['tamen', 'tamen', 'ADV', [266, 271], [391], [8]], ['apertissimis', 'apertissimus', 'ADJ', [272, 284], [391], [8]], [',', ',', 'PUNCT', [284, 285], [391], [8]], ['tibi', 'tu', 'PRON', [286, 290], [391], [8]], ['concedatur', 'concedo', 'VERB', [291, 301], [391], [8, 9]], ['.', '.', 'PUNCT', [301, 302], [391], [9]]]"
